letter of the alphabet	ï»¿aabaa
from A to Z	aabaa hamma zaatti
groan	aada
multicultural	aada-danee
culture	aadaa
bourgeois culture	aadaa afkalaa
non-literate culture	aadaa afoolaa
national culture	aadaa biyyaa
liberal culture	aadaa durkii
professional culture	aadaa hojii
mixed culture	aadaa makaa
non-material culture	aadaa miti-wanneetaa
mass culture	aadaa uummata baldhaa
popular culture	aadaa uummataa
material culture	aadaa wanneetaa
custom marriage	aadaa warroommii
elder sister	aaddee
potter	aaddoo
groaning	aadumsa
silver knife	aaduu meetii
golden knife	aaduu sabbuu
knife	aaduu1
to groan	aaduu2
luck	aaga
bearer of good news	aaga himtuu
to announce good news	aaga himuu
unlucky	aaga-dhabeessa
gospel	aaggoo
a person who forgives	aagi-baasaa
forgiveness	aagii
to forgive	aagii baasuu
bearer of good news	aagituu
to be lucky	aagomuu
blood vessel	aammoo
district	aanaa
municipal district	aanaa magaalaa
colonel	aancibraala
deputy lieutenant	aandihibbaala
violence	aangawa
violent	aangawaa
to be violent	aangawuu
absolute power	aango-qabeessummaa
violently	aangodhaan
powerfulness	aangoma
empowerment	aangomsa
to empower	aangomsuu
to be powerful	aangomuu
power	aangoo
atomic power	aangoo atoomii
governmental authorities	aangoo bulchayyaa
administrative authority	aangoo bulmaataa
social authority	aangoo gamtaa
advisory authority	aangoo gorsaa
state power	aangoo mootummaa
nuclear power	aangoo nuklaraa
brainpower	aangoo sammuu
legislative authority	aangoo seeraa
political power	aangoo taliigaa
Almighty God	aangoo Waaqaa
powerful	aangoo-qabeessa
stanza	aanguu
object	aanima
captain	aankumaala
deputy corporal	aankurnaala
milk 2) latex	aannan
instant milk	aannan battalee
defatted milk	aannan coomtodhablee
milk-powder	aannan daakuu
boiled milk	aannan danfii
skim milk	aannan elmamaa
powdered milk from Europe or America	aannan faranjii
breast milk	aannan harmaa
milk of magnesium	aannan maagnesiyaa
fresh milk	aannan mi'ii
milkless sapless	aannan-maleessa
milky 2) sappy	aannan-qabeessa
to be milky 2) to be sappy	aannannaawuu
kind-hearted 2) friendly	aannannee
a person who talks friendly	aannanooftuu
milkiness 2) sappiness 3) calmness	aannanummaa
milk-cows 2) dairy cattle	aannolee
close relative	aantee
very close relationship	aantummaa
anger	aarii
to avenge	aarii bawu
sacrifice	aarsaa
nerve	aarsituu
optical nerve	aarsituu agartii
radial nerver	aarsituu calii
auditory nerve	aarsituu dhageettii
spinal nerve	aarsituu dugdaa
accelerative nerve	aarsituu hurrisaa
intermediate nerve	aarsituu jiddugalee
muscular nerve	aarsituu maashaa
mixed nerve	aarsituu makaa
sensory nerve	aarsituu miiraa
motor nerve	aarsituu sochii
accessory nerve	aarsituu torbii
neurosis	aarummaa
father confessor	abaa lubbuu
patentee	abaa mirguumaa
great-grandfather	abaabayyuu
great-great-grandfather	abaabilee
cursed	abaaramaa
curse	abaarsa
one who curses	abaartuu
to curse	abaaruu
curry stuff	abasuuda
white cumin	abasuuda
black cumin	abasuuda gurraacha
flat open country	abaxaiiaa
savannah	abaxaiioo
father 2) owner 3) seller 4) leader	abbaa
official	abbaa aangoo
dairyman	abbaa aannanii
florist	abbaa abaaboo
traditional Oromo attorney general	abbaa alangee
religious leader i.e.	abbaa amantii
successful killer of an elephant	abbaa arbaa
a person whose wife celebrates the atteetee cult	abbaa ateetee
banker	abbaa baankii
stepfather	abbaa biddeenaa
billionaire	abbaa biiiyoona
leader (regional or national) 2) governor	abbaa biyyaa
head of state	abbaa bokkuu
head of a camp	abbaa bokonaa
chieftain	abbaa burqaa
father of convention	abbaa caffee
regimental leader	abbaa cibraa
person who gives a feast	abbaa cidhaa
bee-keeper	abbaa dammaa
person who has a case in the court or problems to be discussed with an official	abbaa dhimmaa
ship-owner	abbaa doonii
head of scout	abbaa dooyyoo
litigant 2) chief speaker of the caffee assembly	abbaa dubbii
satirist	abbaa dubqishinaa
Field Marshal	abbaa duuibantii
